X,Y
561211.1751,8571366.8098
561199.2919,8571479.2236
561199.270699999,8571479.5065
561206.0584,8571478.0173
561206.885799995,8571469.9532
561230.310483431,8571468.4300998
561232.625592227,8571469.09155945
561237.917269478,8571466.77645066
561246.2887,8571461.7148
561254.2305,8571460.2827
561262.6279,8571458.9809
561275.595300007,8571457.5168
561279.336700003,8571450.0936
561285.521900006,8571448.8998
561288.518933181,8571466.77645066
561316.670299999,8571469.9057
561330.429959505,8571473.79720068
561337.604594239,8571458.62500637
561345.782600824,8571457.34818953
561345.795883326,8571438.77970001
561356.061234995,8571436.33790718
561354.343206337,8571420.37732873
561368.202695049,8571418.58972534
561369.185503269,8571398.72076286
561377.140846061,8571399.21844562
561377.310900011,8571379.28559997
561385.648734266,8571378.26640022
561397.349900016,8571346.63619997
561405.4357,8571335.4823
561391.0163,8571327.0003
561380.6464,8571309.429
561380.344100002,8571308.2702
561380.126700001,8571307.4368
561379.736100001,8571304.9631
561379.483600001,8571303.0693
561379.5621,8571302.9294
561386.745692133,8571301.08080677
561418.165025807,8571270.65366258
561420.102465577,8571262.3185738
561423.013400001,8571260.4271
561423.672300001,8571259.9455
561428.1971,8571259.7399
561439.940100001,8571257.3409
561450.899300002,8571258.2985
561452.6033,8571260.1336
561452.923200001,8571260.616
561457.368700001,8571267.2782
561459.923200001,8571265.7644
561474.389096588,8571272.96877137
561477.566438626,8571265.65082639
561495.3578,8571272.646
561523.231647851,8571299.55644502
561533.440160832,8571286.09976882
561546.664825376,8571275.42723252
561550.841035231,8571267.07481281
561547.601576367,8571245.84892547
561544.45950001,8571187.31390003
561536.546899994,8571187.98330003
561536.595599986,8571160.59840001
561552.703900001,8571157.88
561555.616,8571154.4357
561559.9154,8571150.7977
561564.214900001,8571149.8055
561568.183700001,8571143.8523
561572.94658537,8571145.96851738
561581.5455609,8571143.65340858
561579.842492564,8571148.51685523
561581.234562516,8571153.85312338
561587.962900617,8571157.1012866
561593.995203742,8571159.65341484
561605.363775017,8571164.75767133
561610.700043166,8571161.04548479
561611.860101459,8571151.99703011
561612.788148094,8571144.57265703
561610.091400001,8571132.0381
561613.113,8571129.6709
561615.1469,8571127.8207
561616.997099999,8571126.274
561620.3499,8571123.7511
561624.6575,8571120.398
561625.558800002,8571119.687
561626.269800002,8571119.0793
561630.8811,8571115.7364
561631.0012,8571115.6666
561636.685348936,8571124.15563107
561643.877710355,8571127.17178263
561647.821908551,8571121.37149116
561651.53409509,8571114.4111414
561654.306123089,8571108.26531697
561655.354940679,8571108.5235556
561663.598701341,8571105.13067506
561665.938295179,8571098.91652748
561666.353399994,8571087.83839999
561664.874299993,8571087.22669999
561664.085699988,8571086.92989998
561681.695610716,8571087.497789
561681.231587398,8571069.40087962
561675.735299998,8571060.9024
561666.027499993,8571058.4832
561666.682902808,8571028.16043335
561656.547602798,8571029.01313335
561657.052102801,8571008.10973333
561637.450602784,8571009.63863333
561637.115402786,8571017.01743333
561626.318900001,8571018.2984
561624.73,8571018.8044
561620.6351,8571020.3598
561618.528,8571021.8752
561615.411200001,8571023.9823
561613.139600002,8571025.7597
561611.3622,8571027.0501
561608.253600001,8571030.1466
561605.8937,8571033.2551
561604.3817,8571035.5474
561602.089400001,8571039.3866
561600.763400001,8571041.2019
561599.9541,8571042.5279
561597.267400001,8571046.9789
561596.871300001,8571047.746
561594.676200001,8571051.8008
561593.9681,8571052.9522
561592.8166,8571054.7272
561589.575600001,8571057.8325
561588.370800001,8571059.1981
561585.447,8571048.1774
561579.088400001,8571045.793
561575.68560002,8571039.83580001
561556.898300004,8571037.46720001
561555.562886889,8571019.09738269
561546.810997398,8571015.41065802
561548.004797399,8571001.23797197
561546.818928948,8570996.47863507
561543.511630666,8570978.61922434
561539.873602556,8570972.99681726
561536.235574448,8570965.05930139
561534.581925308,8570959.10616449
561532.597546339,8570950.17645912
561524.329300635,8570942.90040291
561520.360542697,8570936.61653617
561507.481900003,8570936.6442
561502.996700001,8570926.7097
561506.671500432,8570911.40857803
561515.9293,8570905.781
561519.005400001,8570901.7822
561519.150300001,8570901.5938
561519.224,8570901.4502
561518.5061,8570898.695
561518.184,8570893.8636
561516.722514589,8570883.69976367
561508.556500001,8570879.7793
561510.497900001,8570875.0752
561508.548899998,8570871.7899
561519.424100003,8570860.1329
561527.260300002,8570857.4549
561534.145700001,8570855.1597
561547.4992,8570854.3251
561549.110299996,8570849.0607
561553.132700001,8570845.7705
561553.011900001,8570844.2968
561555.725300002,8570844.0651
561560.141400001,8570843.3826
561563.355420354,8570848.31167206
561566.331988807,8570847.65021241
561569.639287087,8570845.00437378
561571.933,8570840.8638
561574.2709,8570840.2921
561575.4528,8570839.7077
561578.1273,8570838.5259
561580.701,8570835.6832
561588.160157463,8570835.74393859
561585.353473328,8570832.17840169
561587.266865641,8570825.55662636
561578.138899997,8570824.72270001
561573.776699998,8570819.8776
561573.077099999,8570817.746
561568.905336228,8570812.13300149
561566.559825106,8570814.53607257
561564.138067772,8570810.88257338
561559.911071212,8570809.68877338
561549.852125507,8570807.12335751
561545.245416473,8570801.9344184
561538.550683242,8570798.37939956
561534.315755135,8570796.99192059
561527.434988398,8570797.25809077
561524.660030463,8570789.44176265
561521.022002353,8570787.12665386
561514.689815915,8570784.5551442
561509.096067521,8570784.61844192
561501.747867521,8570787.98634192
561494.1942,8570794.8246
561486.539800001,8570798.4987
